Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,27,7,1436,1430,1545,1530,WN,112,N608SW,129,120,114,15,6,SLC,LAX,590,6,9,0,,0,6,0,9,0,0
2008,3,2,7,2053,2055,2346,2346,UA,640,N837UA,113,111,84,0,-2,ORD,ATL,606,9,20,0,,0,NA,NA,NA,NA,NA
2008,4,11,5,551,600,708,700,AS,325,N593AS,77,60,48,8,-9,GEG,SEA,224,7,22,0,,0,NA,NA,NA,NA,NA
2008,4,15,2,1347,1347,1550,1527,NW,768,N671MC,123,100,93,23,0,DTW,MHT,609,7,23,0,,0,0,0,23,0,0
2008,2,11,1,1438,1430,1637,1630,CO,877,N16648,119,120,87,7,8,EWR,DTW,487,9,23,0,,0,NA,NA,NA,NA,NA
2008,2,21,4,1116,1125,1347,1330,MQ,3367,N694AE,211,185,182,17,-9,CHS,DFW,987,18,11,0,,0,0,0,17,0,0
2008,1,31,4,1507,1340,2242,2110,WN,3050,N742SW,275,270,238,92,87,LAS,BWI,2106,5,32,0,,0,0,0,5,0,87
2008,4,7,1,857,900,1117,1120,NW,215,N511US,140,140,110,-3,-3,BOS,DTW,632,11,19,0,,0,NA,NA,NA,NA,NA
2008,4,2,3,754,755,910,910,WN,287,N602SW,76,75,63,0,-1,SMF,ONT,389,4,9,0,,0,NA,NA,NA,NA,NA
2008,3,11,2,650,550,624,544,YV,7408,N515MJ,34,54,23,40,60,SBN,ORD,84,5,6,0,,0,0,40,0,0,0
2008,4,16,3,929,931,1125,1118,NW,273,N518US,296,287,275,7,-2,DTW,SAN,1957,3,18,0,,0,NA,NA,NA,NA,NA
2008,3,12,3,2227,2155,2315,2240,WN,79,N769SW,48,45,33,35,32,TPA,PBI,174,4,11,0,,0,32,0,3,0,0
2008,2,11,1,1912,1915,2158,2157,OO,4043,N609SK,106,102,89,1,-3,LAX,SLC,590,4,13,0,,0,NA,NA,NA,NA,NA
2008,3,24,1,600,600,838,845,UA,922,N464UA,98,105,82,-7,0,ORD,IAD,589,4,12,0,,0,NA,NA,NA,NA,NA
2008,2,28,4,2144,1655,2326,1853,DL,465,N908DL,102,118,83,273,289,DCA,ATL,547,9,10,0,,0,0,0,0,0,273
2008,3,12,3,1456,1310,1555,1415,AA,1264,N422AA,59,65,44,100,106,DFW,SAT,247,3,12,0,,0,69,0,0,0,31
2008,1,15,2,1326,1327,1717,1709,AS,718,N793AS,171,162,136,8,-1,SEA,PHX,1107,11,24,0,,0,NA,NA,NA,NA,NA
2008,4,16,3,604,610,715,736,US,771,N518AU,71,86,51,-21,-6,ALB,DCA,318,9,11,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1227,1230,1348,1355,WN,1375,N522SW,81,85,69,-7,-3,MHT,PHL,290,5,7,0,,0,NA,NA,NA,NA,NA
2008,4,22,2,2152,2130,2223,2202,NW,524,N340NB,91,92,77,21,22,MSP,RAP,490,5,9,0,,0,21,0,0,0,0
2008,2,29,5,2051,2035,2203,2155,WN,3770,N453WN,72,80,60,8,16,LAX,SMF,373,5,7,0,D,0,NA,NA,NA,NA,NA
2008,1,24,4,1000,1000,1159,1158,DL,457,N930DL,119,118,98,1,0,DCA,ATL,547,6,15,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,645,650,754,752,MQ,3001,N317AE,69,62,31,2,-5,LAX,SAN,109,18,20,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1155,1159,1724,1730,DL,856,N124DE,209,211,177,-6,-4,PHX,ATL,1587,8,24,0,D,0,NA,NA,NA,NA,NA
2008,3,7,5,1045,1040,1228,1207,FL,688,N978AT,103,87,76,21,5,ATL,SRQ,445,4,23,0,,0,5,0,16,0,0
2008,2,24,7,1519,1524,1658,1712,UA,168,N933UA,99,108,86,-14,-5,BOI,DEN,649,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1035,1010,1135,1125,WN,463,N347SW,60,75,50,10,25,SJC,LAX,308,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1526,1530,1733,1740,WN,150,N247WN,67,70,55,-7,-4,SAN,TUS,367,4,8,0,,0,NA,NA,NA,NA,NA
2008,4,25,5,1502,1420,2025,1755,AA,1204,N251AA,263,155,139,150,42,DFW,RDU,1062,3,121,0,,0,0,0,112,0,38
2008,2,3,7,1318,1320,1504,1520,DL,70,N938DL,106,120,86,-16,-2,MIA,ATL,595,6,14,0,,0,NA,NA,NA,NA,NA
2008,3,3,1,1115,1116,1210,1223,YV,2689,N909FJ,115,127,86,-13,-1,CLT,STL,575,16,13,0,,0,NA,NA,NA,NA,NA
2008,2,27,3,1048,1010,1405,1331,YV,2630,N930LR,137,141,111,34,38,IAH,CLT,913,6,20,0,,0,0,0,0,0,34
2008,4,11,5,930,935,1012,1014,YV,1035,N693BR,42,39,21,-2,-5,HNL,LIH,102,4,17,0,,0,NA,NA,NA,NA,NA
2008,4,5,6,1758,1756,1936,1947,CO,491,N27213,158,171,135,-11,2,MIA,IAH,964,4,19,0,,0,NA,NA,NA,NA,NA
2008,2,22,5,1545,1545,1707,1711,XE,73,N11189,202,206,190,-4,0,OMA,ONT,1286,4,8,0,,0,NA,NA,NA,NA,NA
2008,2,27,3,1749,1750,1841,1850,AA,504,N549AA,52,60,32,-9,-1,OKC,DFW,175,11,9,0,,0,NA,NA,NA,NA,NA
2008,2,2,6,550,600,801,815,AA,2320,N4XKAA,131,135,107,-14,-10,DFW,ORD,802,13,11,0,,0,NA,NA,NA,NA,NA
2008,2,3,7,1716,1720,1754,1804,NW,318,N8929E,38,44,21,-10,-4,LAS,JFK,56,3,14,0,,0,NA,NA,NA,NA,NA
2008,2,28,4,842,846,942,950,MQ,3300,N935AE,60,64,42,-8,-4,ABI,DFW,158,14,4,0,,0,NA,NA,NA,NA,NA
2008,4,28,1,1848,1853,1930,1940,YV,1042,N654BR,42,47,26,-10,-5,ITO,HNL,216,6,10,0,,0,NA,NA,NA,NA,NA
2008,2,9,6,722,725,920,919,CO,1406,N75861,178,174,139,1,-3,FLL,IAH,965,26,13,0,,0,NA,NA,NA,NA,NA
2008,4,3,4,553,600,807,813,DL,1220,N979DL,74,73,51,-6,-7,MEM,ATL,332,9,14,0,,0,NA,NA,NA,NA,NA
2008,3,10,1,2004,2000,2022,2035,MQ,3775,N680AE,78,95,65,-13,4,DFW,ROW,435,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,2001,1955,37,40,WN,2702,N777QC,156,165,143,-3,6,LAS,HOU,1235,2,11,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,NA,1134,NA,1240,UA,317,,NA,126,NA,NA,NA,DFW,DEN,641,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,17,4,921,910,1055,1046,FL,775,N272AT,274,276,248,9,11,ATL,LAS,1747,6,20,0,,0,NA,NA,NA,NA,NA
2008,2,23,6,2251,2300,2321,2334,AQ,261,N808AL,30,34,21,-13,-9,OGG,HNL,100,3,6,0,,0,NA,NA,NA,NA,NA
2008,2,11,1,1108,1110,1444,1500,AA,2096,N464AA,156,170,142,-16,-2,DFW,BWI,1217,5,9,0,,0,NA,NA,NA,NA,NA
2008,3,28,5,2010,2010,2109,2100,F9,363,N939FR,179,170,161,9,0,SDF,DEN,1023,7,11,0,,0,NA,NA,NA,NA,NA
2008,2,15,5,1137,1120,1214,1157,US,1195,N110UW,97,97,59,17,17,PHX,LAX,370,11,27,0,,0,0,0,0,0,17
2008,3,21,5,930,915,1415,1417,XE,12,N11194,165,182,150,-2,15,ONT,MCI,1318,5,10,0,,0,NA,NA,NA,NA,NA
2008,3,20,4,1613,1608,1740,1737,UA,954,N381UA,87,89,73,3,5,SAN,SFO,447,7,7,0,,0,NA,NA,NA,NA,NA
2008,2,21,4,832,830,1104,1051,DL,981,N702TW,332,321,313,13,2,ATL,SFO,2139,3,16,0,,0,NA,NA,NA,NA,NA
2008,2,5,2,1013,1020,1215,1230,EV,4417,N738EV,122,130,96,-15,-7,ATL,SYR,793,5,21,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,954,935,1143,1135,WN,2639,N754SW,109,120,95,8,19,OAK,GEG,723,3,11,0,,0,NA,NA,NA,NA,NA
2008,2,24,7,2028,2020,2143,2147,FL,742,N313AT,75,87,55,-4,8,ATL,MCO,403,8,12,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,556,600,909,906,UA,668,N854UA,133,126,107,3,-4,ORD,LGA,733,10,16,0,,0,NA,NA,NA,NA,NA
2008,2,21,4,1853,1830,2032,1943,9E,2962,84449E,99,73,44,49,23,DAY,DTW,166,9,46,0,,0,0,0,26,0,23
2008,1,7,1,1030,1035,1112,1109,HA,525,N479HA,42,34,26,3,-5,OGG,HNL,100,8,8,0,,0,NA,NA,NA,NA,NA
2008,1,28,1,937,937,1048,1045,YV,7226,N515MJ,131,128,104,3,0,MDT,ORD,594,7,20,0,,0,NA,NA,NA,NA,NA
2008,4,8,2,2348,2350,652,721,US,49,N915AW,244,271,226,-29,-2,LAS,DCA,2089,4,14,0,,0,NA,NA,NA,NA,NA
2008,4,16,3,1010,1016,1124,1128,OO,5844,N926SW,74,72,44,-4,-6,DEN,RAP,301,7,23,0,,0,NA,NA,NA,NA,NA
2008,2,6,3,1142,1115,1305,1303,DL,639,N919DL,143,168,116,2,27,ATL,MSP,906,3,24,0,,0,NA,NA,NA,NA,NA
2008,4,29,2,1401,1400,1545,1528,YV,7129,N507MJ,104,88,73,17,1,ORD,BNA,409,3,28,0,,0,17,0,0,0,0
2008,3,12,3,721,725,741,750,WN,2097,N644SW,80,85,64,-9,-4,DTW,BNA,457,4,12,0,,0,NA,NA,NA,NA,NA
2008,4,21,1,1544,1545,1715,1715,MQ,3422,N932AE,91,90,72,0,-1,MCI,DAL,461,2,17,0,,0,NA,NA,NA,NA,NA
2008,3,1,6,2106,2110,13,40,WN,2898,N715SW,127,150,117,-27,-4,MDW,MCO,989,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1118,1115,1229,1237,US,1604,N951UW,71,82,55,-8,3,PHL,BOS,280,4,12,0,,0,NA,NA,NA,NA,NA
2008,3,25,2,1417,1232,1531,1352,YV,7211,N27172,134,140,111,99,105,CAE,ORD,666,3,20,0,,0,0,0,99,0,0
2008,4,23,3,2023,2000,2132,2115,WN,331,N384SW,69,75,57,17,23,PVD,BWI,328,4,8,0,,0,0,0,0,0,17
